State_Code,Timestamp_UTC,Gross_Load_MW,Hour_Of_Day,Day_Of_Week,Is_Weekend,Is_Holiday_State,Avg_Temp_C,Temp_Change_6H,Avg_Humidity_Pct
AN,2024-01-01 00:00:00,87.15034323921309,0,1,0,1,27.425979918649183,0.0,59.82578072981706
AP,2024-01-01 00:00:00,13173.1844989255,0,1,0,1,25.49344749782202,0.0,43.50126775850537
AR,2024-01-01 00:00:00,11804.498161841542,0,1,0,1,4.4971257794133335,0.0,65.77662614815203
AS,2024-01-01 00:00:00,3551.717542652704,0,1,0,1,14.110375924967892,0.0,62.27145054996645
BH,2024-01-01 00:00:00,7770.150484534598,0,1,0,1,10.748391574264591,0.0,57.67711437698571
CH,2024-01-01 00:00:00,3946.256560072645,0,1,0,1,8.6293656800161,0.0,32.89550618051689
CHH,2024-01-01 00:00:00,6162.972593421706,0,1,0,1,13.361601648806529,0.0,40.04863694689348
DL,2024-01-01 00:00:00,11212.310267069535,0,1,0,1,7.514993892210313,0.0,26.318338984358157
DNHD,2024-01-01 00:00:00,861.3317005307925,0,1,0,1,17.333889091699078,0.0,58.718429843302296
GA,2024-01-01 00:00:00,661.5666853324825,0,1,0,1,23.42798542501876,0.0,63.99405994474897
GJ,2024-01-01 00:00:00,21333.5551468533,0,1,0,1,11.796703332192491,0.0,44.41113607351759
HP,2024-01-01 00:00:00,14512.051232754397,0,1,0,1,-1.1091062512890757,0.0,46.981830833613614
HR,2024-01-01 00:00:00,10919.003653437152,0,1,0,1,9.75164716040965,0.0,31.53731816980688
JH,2024-01-01 00:00:00,5939.976419356512,0,1,0,1,11.92365478215002,0.0,47.53357845801695
JK,2024-01-01 00:00:00,16978.212605955196,0,1,0,1,-2.2984347356164867,0.0,28.30062191534576
KA,2024-01-01 00:00:00,15935.181292116687,0,1,0,1,21.020357413238354,0.0,40.52216648397551
KL,2024-01-01 00:00:00,5200.80868396529,0,1,0,1,22.932453704971454,0.0,58.820739433493166
LA,2024-01-01 00:00:00,32784.68033981916,0,1,0,1,-15.022455517292778,0.0,24.32269640457061
LD,2024-01-01 00:00:00,43.9761865866132,0,1,0,1,25.941272797852765,0.0,50.98074456842861
MH,2024-01-01 00:00:00,21750.065586368117,0,1,0,1,18.450087865440285,0.0,54.27877393988823
ML,2024-01-01 00:00:00,435.2491236990176,0,1,0,1,10.606362159860746,0.0,54.61564384784754
MN,2024-01-01 00:00:00,527.7324192638565,0,1,0,1,13.530432275549789,0.0,34.48028544828169
MP,2024-01-01 00:00:00,15068.861858422402,0,1,0,1,10.178678123074006,0.0,38.53436259103916
MZ,2024-01-01 00:00:00,349.47205067037584,0,1,0,1,13.649641729566603,0.0,58.45490027536053
NL,2024-01-01 00:00:00,426.4625098975272,0,1,0,1,13.422168952747954,0.0,48.72524073233468
OD,2024-01-01 00:00:00,6670.059509761677,0,1,0,1,15.771513486966306,0.0,53.92680154244938
PB,2024-01-01 00:00:00,12829.820755171824,0,1,0,1,4.931759687084846,0.0,32.48077908789812
PD,2024-01-01 00:00:00,258.0425954054144,0,1,0,1,23.102298295156054,0.0,62.52945635270938
RJ,2024-01-01 00:00:00,17455.209394758847,0,1,0,1,10.625851816163738,0.0,24.349856768981574
